REFERENCIA;DESCRIPCION;INVIMA
187161-FOIT;1.5-Miniplaca Piso de Orbita Anatomica  Izquierda Morada;Invima:2025DM-0031031
187161-FOIT;1.5-Miniplaca Piso de Orbita Anatomica  Izquierda Azul;Invima:2025DM-0031031
187161-FODT;1.5-Miniplaca Piso de Orbita Anatomica  Derecha Morada;Invima:2025DM-0031031
187161-FODT;1.5-Miniplaca Piso de Orbita Anatomica  Derecha Azul;Invima:2025DM-0031031
187161-M35X25T;Minimalla 35x25mm (perfil 0.1-0.2);Invima:2025DM-0031031
187161-M70X50T;Minimalla 70x50mm (perfil 0.1-0.2);Invima:2025DM-0031031
187161-M100X100T;Minimalla de 100 X 100mm (Perfil 0.2/0,6mm);Invima:2025DM-0031031
187193D-M50X50T;1.5-Minimalla 3D (Dinamicas) de 50 X 50mm (Perfil 0.6mm) M;Invima:2025DM-0031031
187193D-M100X100T;1.5-Minimalla 3D (Dinamicas) de 100 X 100mm (Perfil 0.6mm) M;Invima:2025DM-0031031
187191-TPT;Placa de Trepanacion Peque¤a-14mm -Pplateada;Invima:2025DM-0031031
187191-TMT;Placa de Trepanacion Mediana-17mm -Plateada;Invima:2025DM-0031031
187191-TGT;Placa de Trepanacion Grande-22mm -Plateada;Invima:2025DM-0031031
187191-TEGT;Placa de Trepanacion Extragrande-24mm -Plateada;Invima:2025DM-0031031
187191-TPT;Placa de Trepanacion Peque¤a -DORADA;Invima:2025DM-0031031
187191-TMT;Placa de Trepanacion Mediana- DORADA;Invima:2025DM-0031031
187191-TGT;Placa de Trepanacion Grande -DORADA;Invima:2025DM-0031031
187191-TEGT;Placa de Trepanacion Extra Grande -Dorada;Invima:2025DM-0031031
;Placa de Trepanacion Drenage Peque¤a -;Invima:2025DM-0031031
;Placa de Trepanacion Drenage Mediana -;Invima:2025DM-0031031
187191-TDT;Placa de Trepanacion Drenage Grande (22mm);Invima:2025DM-0031031
187191-TRET;Placa de Trepanacion rectangular ;Invima:2025DM-0031031
2207154-T;1.5-Microitornillos Cross de 4mm;Invima:2025DM-0031031
2207155-T;1.5-Microitornillos Cross de 5mm;Invima:2025DM-0031031
